"abbreviation"	"name"	"compartment"
"lipoxinA4"	"lipoxinA4"	"c, n, r, p"
"12(S)-HPETE"	"12(S)-HPETE"	"c, e, r, p"
"12(S)-HETE"	"12(S)-HETE"	"c, r"
"hepoxilinA3"	"hepoxilinA3"	"c, e, p, r"
"hepoxilinA3-c"	"hepoxilinA3-c"	"c, r, p"
"trioxilinA3"	"trioxilinA3"	"c, r, p"
"8(S)-HPETE"	"8(S)-HPETE"	"c"
"8(S)-HETE"	"8(S)-HETE"	"c"
"(11R)-HPETE"	"(11R)-HPETE"	"c"
"9,10-epoxy-(6Z,12Z)-octadecadienoicacid"	"9,10-epoxy-(6Z,12Z)-octadecadienoicacid"	"c"
"7,8-epoxy-(4Z,10Z)-hexadecadienoicacid"	"7,8-epoxy-(4Z,10Z)-hexadecadienoicacid"	"c"
"5,6-epoxy-(8Z)-tetradecenoicacid"	"5,6-epoxy-(8Z)-tetradecenoicacid"	"c"
"12,13-epoxy-(6Z,9Z)-octadecadienoicacid"	"12,13-epoxy-(6Z,9Z)-octadecadienoicacid"	"c"
"10,11-epoxy-(4Z,7Z)-hexadecadienoicacid"	"10,11-epoxy-(4Z,7Z)-hexadecadienoicacid"	"c"
"8,9-epoxy-(5Z)-tetradecenoicacid"	"8,9-epoxy-(5Z)-tetradecenoicacid"	"c"
"11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate"	"11,12-dihydroxy-(5E,7E,9E,14Z)-eicosatetraenoate"	"c"
"12-hetre"	"12-hetre"	"c"
"noladin-ether"	"noladin-ether"	"c"
"leukotrieneC4"	"leukotrieneC4"	"e, c, r"
"5-L-gamma-glutamyl"	"5-L-gamma-glutamyl"	"e"
"LTD4"	"LTD4"	"e, c, r"
"leukotrieneE4"	"leukotrieneE4"	"e, c, n"
"N-acetyl-LTE4"	"N-acetyl-LTE4"	"c, n"
"13,14-dihydro-15-oxo-lipoxinA4"	"13,14-dihydro-15-oxo-lipoxinA4"	"c"
"15-oxo-lipoxinA4"	"15-oxo-lipoxinA4"	"c"
"12-keto-LTB4"	"12-keto-LTB4"	"c, m, r, p"
"12-oxo-10,11-dihydro-20-COOH-LTB4"	"12-oxo-10,11-dihydro-20-COOH-LTB4"	"c, r"
"12-oxo-20-carboxy-LTB4"	"12-oxo-20-carboxy-LTB4"	"c, r"
"12-oxo-c-LTB3"	"12-oxo-c-LTB3"	"c, m, r, p"
"10,11-dihydro-12R-hydroxy-LTC4"	"10,11-dihydro-12R-hydroxy-LTC4"	"c, m, p"
"20-OH-LTB4"	"20-OH-LTB4"	"c, m, r"
"20-oxo-LTB4"	"20-oxo-LTB4"	"c, m, r"
"20-COOH-LTB4"	"20-COOH-LTB4"	"c, m, r, p"
"5-oxo-6-trans-LTB4"	"5-oxo-6-trans-LTB4"	"c, m, p, r"
"6-trans-LTB4"	"6-trans-LTB4"	"c, m, p"
"6,7-dihydro-5-oxo-LTB4"	"6,7-dihydro-5-oxo-LTB4"	"c, m, r, p"
"6,7-dihydro-LTB4"	"6,7-dihydro-LTB4"	"c, m, r, p"
"5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"c, m, r, p"
"5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA"	"5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA"	"m, p"
"3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"m, p"
"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"m, p"
"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA"	"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA"	"m, p"
"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate"	"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate"	"m, p"
"5-oxo-(6E)-12-epi-LTB4"	"5-oxo-(6E)-12-epi-LTB4"	"c, m, p, r"
"6-trans-12-epi-LTB4"	"6-trans-12-epi-LTB4"	"c, m, p"
"6,7-dihydro-5-oxo-12-epi-LTB4"	"6,7-dihydro-5-oxo-12-epi-LTB4"	"c, m, r, p"
"5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"c, m, r, p"
"5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA"	"5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA"	"m, p"
"3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"m, p"
"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA"	"m, p"
"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA"	"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA"	"m, p"
"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate"	"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate"	"m, p"
"10,11-dihydro-12-oxo-LTB4"	"10,11-dihydro-12-oxo-LTB4"	"c, m, p"
"10,11-dihydro-LTB4"	"10,11-dihydro-LTB4"	"c, m, p, r"
"20-COOH-10,11-dihydro-LTB4"	"20-COOH-10,11-dihydro-LTB4"	"c, m, p"
"20-CoA-20-oxo-LTB4"	"20-CoA-20-oxo-LTB4"	"c, m, r, p"
"(18E)-20-oxo-20-CoA-LTB4"	"(18E)-20-oxo-20-CoA-LTB4"	"m, p"
"20-CoA-20-oxo-18r-hydroxy-LTB4"	"20-CoA-20-oxo-18r-hydroxy-LTB4"	"m, p"
"18,20-dioxo-20-CoA-LTB4"	"18,20-dioxo-20-CoA-LTB4"	"m, p"
"18-CoA-18-oxo-dinor-LTB4"	"18-CoA-18-oxo-dinor-LTB4"	"m, p"
"omega-carboxy-trinor-LTB4"	"omega-carboxy-trinor-LTB4"	"m, p"
"10,11-dihydro-LTB4-CoA"	"10,11-dihydro-LTB4-CoA"	"c, m, r, p"
"5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA"	"5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA"	"m, p"
"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA"	"3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA"	"m, p"
"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA"	"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA"	"m, p"
"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA"	"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA"	"m, p"
"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate"	"3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate"	"m, p"
"10,11-dihydro-12-epi-LTB4"	"10,11-dihydro-12-epi-LTB4"	"c, m, p"
"20-hydroxy-LTE4"	"20-hydroxy-LTE4"	"p"
"20-oxo-LTE4"	"20-oxo-LTE4"	"p"
"20-COOH-LTE4"	"20-COOH-LTE4"	"p"
"20-COOH-LTE4-CoA"	"20-COOH-LTE4-CoA"	"p"
"(18E)-20-oxo-20-CoA-LTE4"	"(18E)-20-oxo-20-CoA-LTE4"	"p"
"18(R)-hydroxy-20-oxo-20-CoA-LTE4"	"18(R)-hydroxy-20-oxo-20-CoA-LTE4"	"p"
"20-COOH-18-oxo-LTE4-CoA"	"20-COOH-18-oxo-LTE4-CoA"	"p"
"omega-COOH-dinor-LTE4-CoA"	"omega-COOH-dinor-LTE4-CoA"	"p"
"18-COOH-LTE4"	"18-COOH-LTE4"	"p"
"18-COOH-(16E)-dinor-LTE5-CoA"	"18-COOH-(16E)-dinor-LTE5-CoA"	"p"
"18-COOH-(15E)-dinor-LTE4-CoA"	"18-COOH-(15E)-dinor-LTE4-CoA"	"p"
"16e-18-oxo-18-CoA-dinor-LTE4"	"16e-18-oxo-18-CoA-dinor-LTE4"	"p"
"16(S)-hydroxy-18-oxo-18-CoA-LTE4"	"16(S)-hydroxy-18-oxo-18-CoA-LTE4"	"p"
"16,18-oxo-18-CoA-dinor-LTE4"	"16,18-oxo-18-CoA-dinor-LTE4"	"p"
"omega-COOH-tetranor-LTE3-CoA"	"omega-COOH-tetranor-LTE3-CoA"	"p"
"omega-COOH-tetranor-LTE3"	"omega-COOH-tetranor-LTE3"	"p"
"(13E)-tetranor-16-oxo-16-CoA-LTE4"	"(13E)-tetranor-16-oxo-16-CoA-LTE4"	"p"
"(13E)-tetranor-16-carboxy-LTE4"	"(13E)-tetranor-16-carboxy-LTE4"	"p"
"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate"	"(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate"	"c"
"prostaglandinE1"	"prostaglandinE1"	"c, e"
"prostaglandinH2"	"prostaglandinH2"	"c, r"
"prostaglandinD2"	"prostaglandinD2"	"r, c"
"prostaglandinE2"	"prostaglandinE2"	"r, c, e"
"O-butanoylcarnitine"	"O-butanoylcarnitine"	"c, m"
"O-acetylcarnitine"	"O-acetylcarnitine"	"c, m, p, r"
"O-propanoylcarnitine"	"O-propanoylcarnitine"	"c, m, p"
"malonyl-carnitin"	"malonyl-carnitin"	"c, m, p, r"
"dodecanoylcarnitine"	"dodecanoylcarnitine"	"c, m, r"
"tridecanoylcarnitine"	"tridecanoylcarnitine"	"c, m, r"
"tetradecanoylcarnitine"	"tetradecanoylcarnitine"	"c, m, r"
"tetradecenoylcarnitine(5)"	"tetradecenoylcarnitine(5)"	"c, m, r"
"tetradecenoylcarnitine(7)"	"tetradecenoylcarnitine(7)"	"c, m, r"
"tetradecenoylcarnitine(9)"	"tetradecenoylcarnitine(9)"	"c, m, r"
"pentadecanoylcarnitine"	"pentadecanoylcarnitine"	"c, m, r"
"L-palmitoylcarnitine"	"L-palmitoylcarnitine"	"c, m, r"
"hexadecenoylcarnitine(9)"	"hexadecenoylcarnitine(9)"	"c, m, r"
"palmitoleoyl-carnitine"	"palmitoleoyl-carnitine"	"c, m, r"
"heptadecanoylcarnitine"	"heptadecanoylcarnitine"	"c, m, r"
"heptadecenoylcarnitine(7)"	"heptadecenoylcarnitine(7)"	"c, m, r"
"heptadecenoylcarnitine(8)"	"heptadecenoylcarnitine(8)"	"c, m, r"
"stearoylcarnitine"	"stearoylcarnitine"	"c, m, r"
"octadecenoylcarnitine(5)"	"octadecenoylcarnitine(5)"	"c, m, r"
"octadecenoylcarnitine(7)"	"octadecenoylcarnitine(7)"	"c, m, r"
"L-oleoylcarnitine"	"L-oleoylcarnitine"	"c, m, r"
"(9E)-octadecenoylcarnitine"	"(9E)-octadecenoylcarnitine"	"c, m, r"
"octadecenoylcarnitine(11)"	"octadecenoylcarnitine(11)"	"c, m, r"
"(6Z,9Z)-octadecadienoylcarnitine"	"(6Z,9Z)-octadecadienoylcarnitine"	"c, m, r"
"nonadecanoylcarnitine"	"nonadecanoylcarnitine"	"c, m, r"
"eicosanoylcarnitine"	"eicosanoylcarnitine"	"c, m, r"
"eicosenoylcarnitine(7)"	"eicosenoylcarnitine(7)"	"c, m, r"
"eicosenoylcarnitine(9)"	"eicosenoylcarnitine(9)"	"c, m, r"
"eicosenoylcarnitine(11)"	"eicosenoylcarnitine(11)"	"c, m, r"
"(8Z,11Z)-eicosadienoylcarnitine"	"(8Z,11Z)-eicosadienoylcarnitine"	"c, m, r"
"(5Z,8Z,11Z)-eicosatrienoylcarnitine"	"(5Z,8Z,11Z)-eicosatrienoylcarnitine"	"c, m, r"
"heneicosanoylcarnitine"	"heneicosanoylcarnitine"	"c, m, r"
"docosanoylcarnitine"	"docosanoylcarnitine"	"c, m, r"
"docosenoylcarnitine"	"docosenoylcarnitine"	"c, m, r"
"docosenoylcarnitine(11)"	"docosenoylcarnitine(11)"	"c, m, r"
"octadecatrienoylcarnitine"	"octadecatrienoylcarnitine"	"c, m, r"
"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine"	"(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine"	"c, m, r"
"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine"	"(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine"	"c, m, r"
"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine"	"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine"	"c, m, r"
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine"	"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine"	"c, m, r"
"docosahexaenoylcarnitine"	"docosahexaenoylcarnitine"	"c, m, r"
"(11Z,14Z,17Z)-eicosatrienoylcarnitine"	"(11Z,14Z,17Z)-eicosatrienoylcarnitine"	"c, m, r"
"13,16,19-docosatrienoylcarnitine"	"13,16,19-docosatrienoylcarnitine"	"c, m, r"
"10,13,16,19-docosatetraenoylcarnitine"	"10,13,16,19-docosatetraenoylcarnitine"	"c, m, r"
"linoleic-carnitine"	"linoleic-carnitine"	"c, m, r"
"gamma-linolenoylcarnitine"	"gamma-linolenoylcarnitine"	"c, m, r"
"eicosatrienoylcarnitine"	"eicosatrienoylcarnitine"	"c, m, r"
"arachidonyl-carnitine"	"arachidonyl-carnitine"	"c, m, r"
"ocosatetraenoylcarnitine"	"ocosatetraenoylcarnitine"	"c, m, r"
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine"	"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine"	"c, m, r"
"eicosadienoylcarnitine"	"eicosadienoylcarnitine"	"c, m, r"
"(13Z,16Z)-docosadienoylcarnitine"	"(13Z,16Z)-docosadienoylcarnitine"	"c, m, r"
"10,13,16-docosatrienoylcarnitine"	"10,13,16-docosatrienoylcarnitine"	"c, m, r"
"12,15,18,21-tetracosatetraenoylcarnitine"	"12,15,18,21-tetracosatetraenoylcarnitine"	"c, r"
"L-octanoylcarnitine"	"L-octanoylcarnitine"	"c, m, p"
"tricosanoylcarnitine"	"tricosanoylcarnitine"	"c, r"
"tetracosanoylcarnitine"	"tetracosanoylcarnitine"	"c, r"
"(15Z)-tetracosenoylcarnitine"	"(15Z)-tetracosenoylcarnitine"	"c, r"
"hexacosanoylcarnitine"	"hexacosanoylcarnitine"	"c, r"
"hexacosenoylcarnitine"	"hexacosenoylcarnitine"	"c, r"
"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine"	"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine"	"c, r"
"(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine"	"(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine"	"c, r"
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine"	"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine"	"c, r"
"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine"	"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine"	"c, r"
"chylomicron"	"chylomicron"	"e"
"TAG-chylomicronpool"	"TAG-chylomicronpool"	"e"
"chylomicronremnant"	"chylomicronremnant"	"e, l"
"1,2-diacylglycerol-chylomicronpool"	"1,2-diacylglycerol-chylomicronpool"	"e"
"fattyacid-chylomicronpool"	"fattyacid-chylomicronpool"	"e"
"1-acylglycerol-chylomicronpool"	"1-acylglycerol-chylomicronpool"	"e, c"
"fattyacid-LD-TG1pool"	"fattyacid-LD-TG1pool"	"c, l"
"sn-glycerol-3-phosphate"	"sn-glycerol-3-phosphate"	"m, c, p"
"1,2-diacylglycerol-LD-TAGpool"	"1,2-diacylglycerol-LD-TAGpool"	"c, g, n"
"phosphatidate-LD-TAGpool"	"phosphatidate-LD-TAGpool"	"c, r"
"acyl-CoA-LD-TG3pool"	"acyl-CoA-LD-TG3pool"	"c"
"TAG-LDpool"	"TAG-LDpool"	"c, r"
"fattyacid-LD-TG3pool"	"fattyacid-LD-TG3pool"	"c"
"1-acylglycerol-LD-TG1pool"	"1-acylglycerol-LD-TG1pool"	"c"
"fattyacid-LD-TG2pool"	"fattyacid-LD-TG2pool"	"c"
"1,2-diacylglycerol-LD-PIpool"	"1,2-diacylglycerol-LD-PIpool"	"c"
"1-acylglycerol-LD-PIpool"	"1-acylglycerol-LD-PIpool"	"c"
"fattyacid-LD-PIpool"	"fattyacid-LD-PIpool"	"c"
"1,2-diacylglycerol-LD-PCpool"	"1,2-diacylglycerol-LD-PCpool"	"c"
"1-acylglycerol-LD-PCpool"	"1-acylglycerol-LD-PCpool"	"c"
"fattyacid-LD-PCpool"	"fattyacid-LD-PCpool"	"c, r, l"
"1,2-diacylglycerol-LD-PEpool"	"1,2-diacylglycerol-LD-PEpool"	"c, r"
"1-acylglycerol-LD-PEpool"	"1-acylglycerol-LD-PEpool"	"c"
"fattyacid-LD-PEpool"	"fattyacid-LD-PEpool"	"c"
"1,2-diacylglycerol-LD-PSpool"	"1,2-diacylglycerol-LD-PSpool"	"c"
"1-acylglycerol-LD-PSpool"	"1-acylglycerol-LD-PSpool"	"c"
"fattyacid-LD-PSpool"	"fattyacid-LD-PSpool"	"c"
"1,2-diacylglycerol-LD-SMpool"	"1,2-diacylglycerol-LD-SMpool"	"c"
"1-acylglycerol-LD-SMpool"	"1-acylglycerol-LD-SMpool"	"c"
"fattyacid-LD-SMpool"	"fattyacid-LD-SMpool"	"c"
"acyl-CoA-LD-TG2pool"	"acyl-CoA-LD-TG2pool"	"c"
"acylglycerone-phosphate"	"acylglycerone-phosphate"	"c, p"
"(2E)-hexadecenoyl-CoA"	"(2E)-hexadecenoyl-CoA"	"p, m"
"(S)-3-hydroxyhexadecanoyl-CoA"	"(S)-3-hydroxyhexadecanoyl-CoA"	"p, m"
"3-oxopalmitoyl-CoA"	"3-oxopalmitoyl-CoA"	"p, m"
"(2E)-tetradecenoyl-CoA"	"(2E)-tetradecenoyl-CoA"	"p, m"
"(S)-3-hydroxytetradecanoyl-CoA"	"(S)-3-hydroxytetradecanoyl-CoA"	"p, m"
"3-oxotetradecanoyl-CoA"	"3-oxotetradecanoyl-CoA"	"p, m"
"(2E)-dodecenoyl-CoA"	"(2E)-dodecenoyl-CoA"	"p, m"
"(S)-3-hydroxydodecanoyl-CoA"	"(S)-3-hydroxydodecanoyl-CoA"	"p, m"
"3-oxododecanoyl-CoA"	"3-oxododecanoyl-CoA"	"p, m"
"(2E)-decenoyl-CoA"	"(2E)-decenoyl-CoA"	"p, m"
"(S)-hydroxydecanoyl-CoA"	"(S)-hydroxydecanoyl-CoA"	"p, m"
"3-oxodecanoyl-CoA"	"3-oxodecanoyl-CoA"	"p, m"
"(2E)-octenoyl-CoA"	"(2E)-octenoyl-CoA"	"p, m"
"(S)-hydroxyoctanoyl-CoA"	"(S)-hydroxyoctanoyl-CoA"	"p, m"
"3-oxooctanoyl-CoA"	"3-oxooctanoyl-CoA"	"p, m"
"(2E)-hexenoyl-CoA"	"(2E)-hexenoyl-CoA"	"p, m"
"(S)-hydroxyhexanoyl-CoA"	"(S)-hydroxyhexanoyl-CoA"	"p, m"
"3-oxohexanoyl-CoA"	"3-oxohexanoyl-CoA"	"p, m"
"trans,cis-octadeca-2,9-dienoyl-CoA"	"trans,cis-octadeca-2,9-dienoyl-CoA"	"p, m"
"(S)-3-hydroxyoleyleoyl-CoA"	"(S)-3-hydroxyoleyleoyl-CoA"	"p, m"
"3-oxooleoyl-CoA"	"3-oxooleoyl-CoA"	"p, m"
"trans,cis-hexadeca-2,7-dienoyl-CoA"	"trans,cis-hexadeca-2,7-dienoyl-CoA"	"p, m"
"(S)-3-hydroxy-7-hexadecenoyl-CoA"	"(S)-3-hydroxy-7-hexadecenoyl-CoA"	"p, m"
"3-oxo-7-hexadecenoyl-CoA"	"3-oxo-7-hexadecenoyl-CoA"	"p, m"
"trans,cis-myristo-2,5-dienoyl-CoA"	"trans,cis-myristo-2,5-dienoyl-CoA"	"p, m"
"cis-(3S)-hydroxytetradec-5-enoyl-CoA"	"cis-(3S)-hydroxytetradec-5-enoyl-CoA"	"p, m"
"3-oxomyrist-5-enoyl-CoA"	"3-oxomyrist-5-enoyl-CoA"	"p, m"
"(3Z)-dodecenoyl-CoA"	"(3Z)-dodecenoyl-CoA"	"p, m"
"trans,cis-hexadeca-2,9-dienoyl-CoA"	"trans,cis-hexadeca-2,9-dienoyl-CoA"	"p, m"
"(S)-3-hydroxypalmitoleoyl-CoA"	"(S)-3-hydroxypalmitoleoyl-CoA"	"p, m"
"3-oxopalmitoleoyl-CoA"	"3-oxopalmitoleoyl-CoA"	"p, m"
"trans,cis-myristo-2,7-dienoyl-CoA"	"trans,cis-myristo-2,7-dienoyl-CoA"	"p, m"
"cis-(3S)-hydroxytetradec-7-enoyl-CoA"	"cis-(3S)-hydroxytetradec-7-enoyl-CoA"	"p, m"
"3-oxomyrist-7-enoyl-CoA"	"3-oxomyrist-7-enoyl-CoA"	"p, m"
"(5Z)-dodecenoyl-CoA"	"(5Z)-dodecenoyl-CoA"	"p, m"
"phytanoyl-CoA"	"phytanoyl-CoA"	"p"
"2-hydroxyphytanoyl-CoA"	"2-hydroxyphytanoyl-CoA"	"p"
"2(S)-pristanal"	"2(S)-pristanal"	"p"
"formyl-CoA"	"formyl-CoA"	"p"
"(2R,6S,10S)-pristanate"	"(2R,6S,10S)-pristanate"	"p"
"(2S)-pristanoyl-CoA"	"(2S)-pristanoyl-CoA"	"p"
"(2R)-pristanoyl-CoA"	"(2R)-pristanoyl-CoA"	"p"
"trans-2,3-dehydropristanoyl-CoA"	"trans-2,3-dehydropristanoyl-CoA"	"p"
"3-hydroxypristanoyl-CoA"	"3-hydroxypristanoyl-CoA"	"p"
"3-ketopristanoyl-CoA"	"3-ketopristanoyl-CoA"	"p"
"4,8,12-trimethyltridecanoyl-CoA"	"4,8,12-trimethyltridecanoyl-CoA"	"p"
"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA"	"(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA"	"p"
"3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA"	"3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA"	"p"
"3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA"	"3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA"	"p"
"(2R,6R,10R)-trimethyl-hendecanoyl-CoA"	"(2R,6R,10R)-trimethyl-hendecanoyl-CoA"	"p"
"(2S,6R,10R)-trimethyl-hendecanoyl-CoA"	"(2S,6R,10R)-trimethyl-hendecanoyl-CoA"	"p"
"(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA"	"(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA"	"p"
"3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA"	"3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA"	"p"
"3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA"	"3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA"	"p"
"4(R),8-dimethyl-nonanoyl-CoA"	"4(R),8-dimethyl-nonanoyl-CoA"	"p, m"
"trans,cis,cis-2,9,12-octadecatrienoyl-CoA"	"trans,cis,cis-2,9,12-octadecatrienoyl-CoA"	"p, m"
"(3S)-3-hydroxylinoleoyl-CoA"	"(3S)-3-hydroxylinoleoyl-CoA"	"p, m"
"3-oxolinoleoyl-CoA"	"3-oxolinoleoyl-CoA"	"p, m"
"cis,cis-palmito-7,10-dienoyl-CoA"	"cis,cis-palmito-7,10-dienoyl-CoA"	"p, m"
"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA"	"(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA"	"p, m"
"3-oxo-cis,cis-7,10-hexadecadienoyl-CoA"	"3-oxo-cis,cis-7,10-hexadecadienoyl-CoA"	"p, m"
"cis,cis-myristo-5,8-dienoyl-CoA"	"cis,cis-myristo-5,8-dienoyl-CoA"	"p, m"
"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA"	"trans-2-cis,cis-5,8-tetradecatrienoyl-CoA"	"p, m"
"3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA"	"3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA"	"p, m"
"3-oxo-cis,cis-5,8-tetradecadienoyl-CoA"	"3-oxo-cis,cis-5,8-tetradecadienoyl-CoA"	"p, m"
"cis,cis-3,6-dodecadienoyl-CoA"	"cis,cis-3,6-dodecadienoyl-CoA"	"p, m"
"trans,cis-lauro-2,6-dienoyl-CoA"	"trans,cis-lauro-2,6-dienoyl-CoA"	"p, m"
"(3S)-3-hydroxydodec-cis-6-enoyl-CoA"	"(3S)-3-hydroxydodec-cis-6-enoyl-CoA"	"p, m"
"3-oxolaur-6-cis-enoyl-CoA"	"3-oxolaur-6-cis-enoyl-CoA"	"p, m"
"4-cis-decenoyl-CoA"	"4-cis-decenoyl-CoA"	"p, m"
"2-trans-4-cis-decadienoyl-CoA"	"2-trans-4-cis-decadienoyl-CoA"	"p, m"
"trans-3-decenoyl-CoA"	"trans-3-decenoyl-CoA"	"p, m"
"(2E)-heptadecenoyl-CoA"	"(2E)-heptadecenoyl-CoA"	"m"
"3-hydroxyheptadecanoyl-CoA"	"3-hydroxyheptadecanoyl-CoA"	"m"
"3-oxoheptadecanoyl-CoA"	"3-oxoheptadecanoyl-CoA"	"m"
"(2E)-pentadecenoyl-CoA"	"(2E)-pentadecenoyl-CoA"	"m"
"3-hydroxypentadecanoyl-CoA"	"3-hydroxypentadecanoyl-CoA"	"m"
"3-oxopentadecanoyl-CoA"	"3-oxopentadecanoyl-CoA"	"m"
"(2E)-tridecenoyl-CoA"	"(2E)-tridecenoyl-CoA"	"m"
"3-hydroxytridecanoyl-CoA"	"3-hydroxytridecanoyl-CoA"	"m"
"3-oxotridecanoyl-CoA"	"3-oxotridecanoyl-CoA"	"m"
"(2E)-undecenoyl-CoA"	"(2E)-undecenoyl-CoA"	"m"
"3-hydroxyundecanoyl-CoA"	"3-hydroxyundecanoyl-CoA"	"m"
"3-oxoundecanoyl-CoA"	"3-oxoundecanoyl-CoA"	"m"
"(2E)-nonenoyl-CoA"	"(2E)-nonenoyl-CoA"	"m"
"3-hydroxynonanoyl-CoA"	"3-hydroxynonanoyl-CoA"	"m"
"3-oxononanoyl-CoA"	"3-oxononanoyl-CoA"	"m"
"(2E)-heptenoyl-CoA"	"(2E)-heptenoyl-CoA"	"m"
"3-hydroxyheptanoyl-CoA"	"3-hydroxyheptanoyl-CoA"	"m"
