"abbreviation"	"name"	"compartment"
"deoxycytidine"	"deoxycytidine"	"c, n, l, e, m"
"orotate"	"orotate"	"c"
"(S)-dihydroorotate"	"(S)-dihydroorotate"	"c"
"ubiquinone"	"ubiquinone"	"m"
"ubiquinol"	"ubiquinol"	"m"
"dUMP"	"dUMP"	"c, m, n"
"deoxyuridine"	"deoxyuridine"	"c, m, e"
"5,10-methylene-THF"	"5,10-methylene-THF"	"c, m"
"dihydrofolate"	"dihydrofolate"	"c, m, e, l"
"mitooxidizedthioredoxin"	"mitooxidizedthioredoxin"	"m"
"mitothioredoxin"	"mitothioredoxin"	"m"
"pseudouridine-5-phosphate"	"pseudouridine-5-phosphate"	"c"
"sulfate"	"sulfate"	"c, m, l, e"
"adenylylsulfate"	"adenylylsulfate"	"c"
"PAPS"	"PAPS"	"c, g"
"dITP"	"dITP"	"c, n, m"
"dIDP"	"dIDP"	"c, n, m"
"dIMP"	"dIMP"	"c"
"ADP-glucose"	"ADP-glucose"	"c"
"ADP-mannose"	"ADP-mannose"	"c"
"XTP"	"XTP"	"c"
"citrulline"	"citrulline"	"c, m, e, g"
"argininosuccinate"	"argininosuccinate"	"c"
"arginine"	"arginine"	"c, m, l, e"
"1-pyrroline-5-carboxylate"	"1-pyrroline-5-carboxylate"	"m, c"
"asparagine"	"asparagine"	"m, c, l, e"
"3-sulfinoalanine"	"3-sulfinoalanine"	"m, c"
"3-sulfinylpyruvicacid"	"3-sulfinylpyruvicacid"	"m, c"
"GSSG"	"GSSG"	"m, c, e, r"
"alanine"	"alanine"	"c, m, l, e"
"2-oxoglutaramate"	"2-oxoglutaramate"	"c, m"
"succinatesemialdehyde"	"succinatesemialdehyde"	"m"
"succinate"	"succinate"	"m, c, p, e"
"4-aminobutyrate"	"4-aminobutyrate"	"c, m, e, l"
"tyrosine"	"tyrosine"	"m, c, l, e"
"4-hydroxyphenylpyruvate"	"4-hydroxyphenylpyruvate"	"m, c"
"N-acetyl-L-asparagine"	"N-acetyl-L-asparagine"	"c"
